"Module version %1 (latest  version available: %2)","Version du module %1 (Dernière version disponible: %2)"
Sponsorship,Parrainage
Reporting,Statistiques
"Find more information on our website WeLoveCustomers","Retrouvez plus de détails sur notre plateforme WeLoveCustomers"
"Go to Advanced Reporting","Accèder au tableau de bord avancé"
"Reward offer","Offre de récompense"
"Welcome offer","Offre de bienvenue"
"NPS Score","Score NPS"
"Your module is not configured yet","Votre module n'est pas encore configuré"
WeLoveCustomers,WeLoveCustomers
Setup,Installation
General,General
"API key","API key"
"API Glue","API Glue"
"Invitation","Nombre d'Invitations"
"Referrer","Parrains"
"Referee", "Filleuls",
"We Love Customers provides an easy-to-use and powerful referral program platform for VSB, SMB and e-merchants.","We Love Customers fournit une plate-forme de parrainage facile à utiliser et puissante pour les commercants et sites e-commerces"
"Please create your account using this link: ","Utiliser ce lien pour créer votre compte : "
"Create my referral program","Créer mon programme de parrainage"
"Price Type","Type de prix"
"Order Id Type","Type d'identifiant d'achat"
"Sync customer Id","Synchronisation identifiant client Magento"
